547,BENNET Cassina Rizzardi
540,BENNET Anzano al Parco
545,BENNET Olgiate Com.
1809,Como-COOP Como
1815,IPERAL  Carlazzo
1035,CONAD Arma di Taggia
1056,COOP Negro Genova
2086,ESSELUNGA S.Benigno Genova
104,IPERCOOP Carasco
1533,IPERCOOP Genova
1591,CONAD Santo Stefano Magra
1859,IPERCOOP CC Le Terrazze La Spezia
1975,IPERCOOP Sarzana
764,IPERCOOP  Savona
595,IPERCOOP CC Le Serre Albenga
1039,COOP Cogoleto
1040,COOP  Arenzano
1034,COOP Merano Genova
723,COOP Rivarolo Genova
797,BENNET Pontedassio
724,COOP Sanremo
718,COOP Ventimiglia
1973,CONAD Vallecrosia
1053,CONAD Imperia
249,COOP Amendola La Spezia
674,COOP Saffi La Spezia
716,COOP  Vado Ligure
717,COOP  Finale Ligure
2083,ESSELUNGA Albenga
1955,ESSELUNGA Piave Genova
153,COOP Imperia
2034,ESSELUNGA C.so Bram. Torino
818,BENNET Santa Vittoria D'Alba
2190,COOP Bra
2266,ESSELUNGA Forlì
2271,ESSELUNGA Novedrate
2246,COOP Colle Val D'Elsa
2235,COOP Agliana
2210,COOP Bagno a Ripoli
1264,COOP CC Il Casent. Bibbiena
2211,COOP Centro Mug. Borgo San Lorenzo
2212,COOP Campi Bisenzio
2221,COOP Carlo Del Prete Firenze
2240,COOP CC Dei Borghi Cascina Loc. Navacchio
2213,COOP Castelfiorentino
2214,COOP  Ceretaldo
2216,COOP Firenze
2215,COOP  Empoli
2229,COOPFabbricone Prato
2220,COOP Gavinana Firenze
2223,COOP  Impruneta
2224,COOP  Lamporecchio
2225,IPERCOOP  Lastra a Signa
2222,COOP Leopoldo Firenze
2237,COOP Est Lucca
2236,COOP S.'Anna Lucca
2238,COOP Monsummano Terme
2226,COOP Montelupo Fiorentino
2227,COOP Montemurlo
2239,COOP Monte San Savino
2218,COOP Novoli Firenze
2217,COOP CC le Piagge Firenze
2242,COOP Cisanello Pisa
2241,COOP Porta al Mare Pisa P.ta a Mare
2243,COOP Adua-Macallè  Pistoia
2230,COOP CC Parco Prato  Prato
2244,COOP Poggibonsi
2228,COOP Pontassieve
2209,COOP Bagno a Ripoli
2245,COOP Pontedera
2231,COOP Quarrata
2232,COOP Rignano Sull'Arno
2247,COOP San Giovanni Valdarno
2248,COOP Sansepolcro
2249,COOP Santa Croce Sull'Arno
2251,COOP Cittadini Siena
2250,COOP Grondaie Siena
1266,COOP CC I Gelsi Sinalunga
2253,COOP Torre del Lago Viareggio
2233,COOP Vingone Scandicci
2252,COOP Volterra
2254,COOP VAIANO
2234,COOP Lastra a Signa
2046,ESSELUNGA Gignoro  Firenze
2054,ESSELUNGA Canova  Firenze
2043,ESSELUNGA NOVOLI  Firenze
2069,ESSELUNGA Turigliano Carrara
2057,ESSELUNGA Galilei  Prato
2056,ESSELUNGA Campi Bisenzio
2165,ESSELUNGA Masaccio  Firenze
2053,ESSELUNGA Galliano Firenze
1980,ESSELUNGA Milanesi Firenze
2065,ESSELUNGA Roma  Massa
2052,ESSELUNGA Fiorentina  Prato
